procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129364208  18308 295672    0    0     4   696 3723 10616  0  0 96  3  0
 0  1      0 129364008  18548 295656    0    0     0   752 3729 11868  0  0 96  3  0
 0  1      0 129363952  18748 295776    0    0     0   624 3667 11038  0  0 96  3  0
 0  1      0 129363536  18980 295656    0    0     0   680 3672 11174  0  0 97  3  0
 0  2      0 129363728  19212 296188    0    0     0   744 3789 11474  0  0 97  3  0
 0  1      0 129362744  19436 296152    0    0     0   708 3666 11708  0  0 96  3  0
 0  2      0 129362008  19644 296312    0    0     0   668 3595 10501  0  0 97  3  0
 0  1      0 129361648  19884 296124    0    0     0   744 3789 11903  0  0 96  3  0
 0  1      0 129362304  20116 296760    0    0     0  1768 3739 11278  0  0 96  3  0
 0  1      0 129362736  20340 296804    0    0     0   692 3662 11416  0  0 97  3  0
 0  1      0 129362592  20556 296872    0    0     0   656 3693 11088  0  0 96  3  0
 0  2      0 129362080  20768 297164    0    0     4   756 3500 10489  0  0 97  3  0
 0  1      0 129361600  21000 297244    0    0     0   736 3706 11788  0  0 96  3  0
 0  1      0 129361000  21232 297312    0    0     0   720 3741 11627  0  0 97  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129361072  21440 297560    0    0     0   640 3957 11292  0  0 96  3  0
 0  1      0 129361176  21672 297840    0    0     0   764 3983 12357  0  0 96  3  0
 0  1      0 129360144  21900 297980    0    0     4   772 3604 11399  0  0 97  3  0
 0  1      0 129359728  22476 297624    0    0   388   624 3753 11104  0  0 96  3  0
 0  2      0 129358000  22684 298280    0    0    16   616 3684 11390  0  0 97  3  0
 0  2      0 129357360  23048 298544    0    0   240   732 3720 11775  0  0 96  3  0
 0  1      0 129357088  23272 298672    0    0     0   696 3834 12330  0  0 96  3  0
 0  1      0 129357768  23480 298800    0    0     0   724 3718 10841  0  0 96  3  0
 0  1      0 129357632  23672 298976    0    0     0  1712 3640 10912  0  0 97  3  0
 0  1      0 129357264  23896 298980    0    0     0   736 3949 11825  0  0 96  3  0
 0  1      0 129356392  24136 299200    0    0     0   732 3874 12082  0  0 96  3  0
 0  2      0 129355920  24360 299324    0    0     0   748 3777 11447  0  0 96  3  0
 0  2      0 129355192  24544 299400    0    0     0   632 3604 10294  0  0 97  3  0
 0  1      0 129355056  24760 299340    0    0     0   732 3972 12151  0  0 96  3  0
 0  1      0 129353472  25000 299748    0    0     0   764 3812 11851  0  0 96  3  0
 0  1      0 129353704  25216 299852    0    0     0   672 3834 11310  0  0 96  3  0
 0  1      0 129353968  25432 299792    0    0     0   656 3731 11202  0  0 97  3  0
 0  1      0 129353544  25640 300072    0    0     0   708 3708 10823  0  0 97  3  0
 0  1      0 129353456  26016 300176    0    0   140   760 3994 11923  0  0 96  3  0
 0  1      0 129353760  26240 300272    0    0     4   732 3780 11413  0  0 96  3  0
 0  2      0 129353240  26464 300220    0    0     0   716 3920 11588  0  0 96  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129353552  26680 300644    0    0     0   648 3707 11561  0  0 97  3  0
 0  1      0 129353664  26904 300684    0    0     0   728 3710 11505  0  0 97  3  0
 0  1      0 129353216  27128 300832    0    0     0   736 6779 12122  0  0 97  3  0
 0  1      0 129352336  27344 300924    0    0    60   728 4783 12549  0  0 96  3  0
 0  2      0 129351520  27552 301280    0    0     0   696 3642 10706  0  0 97  3  0
 0  1      0 129351656  27784 301340    0    0     0   808 3993 12261  0  0 96  3  0
 0  1      0 129350400  28004 301556    0    0     4   684 3964 11650  0  0 96  3  0
 0  1      0 129350656  28232 301780    0    0     0   768 3751 11914  0  0 97  3  0
 1  1      0 129350048  28452 301872    0    0     0   680 3617 11499  0  0 97  3  0
 0  1      0 129349528  28692 302084    0    0     0   756 3834 11823  0  0 97  3  0
 0  1      0 129349344  28900 301980    0    0     0   612 3857 11392  0  0 96  3  0
 0  1      0 129349488  29148 301976    0    0     8   788 4074 12302  0  0 96  3  0
 0  1      0 129349072  29368 302312    0    0     4   740 3941 11647  0  0 96  3  0
 0  1      0 129348800  29584 302308    0    0     0   696 4194 11651  0  0 97  3  0
 1  1      0 129348816  29816 302620    0    0     0   748 4238 12460  0  0 96  3  0
 0  2      0 129348304  30040 302548    0    0     0   712 4058 11668  0  0 96  3  0
 0  1      0 129349072  30272 302916    0    0     0   704 4278 12171  0  0 97  3  0
 0  1      0 129349360  30464 302992    0    0     0   676 3963 10690  0  0 96  3  0
 0  1      0 129348872  30696 303192    0    0     0   768 4097 11916  0  0 97  3  0
 0  1      0 129349120  30920 303092    0    0     0   704 4376 11394  0  0 97  3  0
 0  2      0 129348192  31152 303560    0    0     0   736 4207 11401  0  0 97  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129348440  31368 303608    0    0     0   672 4282 11152  0  0 96  3  0
 0  1      0 129347456  31592 303856    0    0     0   732 4125 11488  0  0 96  3  0
 1  1      0 129346352  31816 303952    0    0     0   680 4034 11833  0  0 97  3  0
 0  1      0 129345920  32048 303904    0    0     0   736 3944 11637  0  0 96  3  0
 0  2      0 129346288  32264 304156    0    0     0   676 3752 10667  0  0 97  3  0
 0  1      0 129345664  32496 304348    0    0     0   712 3982 11937  0  0 96  3  0
 0  1      0 129344880  32704 304392    0    0     0   740 3843 10842  0  0 97  3  0
 0  1      0 129344904  32928 304588    0    0     0   696 3732 11500  0  0 97  3  0
 0  2      0 129343984  33152 304436    0    0     0   680 3882 11300  0  0 96  3  0
 0  1      0 129343168  33392 304692    0    0     0   688 3949 11969  0  0 96  3  0
 0  2      0 129342040  33624 304724    0    0     0   768 4001 11336  0  0 97  3  0
 0  1      0 129341664  33832 304876    0    0     0   688 3719 11158  0  0 96  3  0
 0  2      0 129341024  34056 305172    0    0     0   696 3850 11321  0  0 97  3  0
 0  1      0 129340160  34288 305288    0    0     0   708 4093 11981  1  0 96  3  0
 0  1      0 129339536  34512 305208    0    0     0   700 3987 11427  0  0 97  3  0
 0  2      0 129339960  34720 305604    0    0     0   680 3906 11654  0  0 97  3  0
 0  1      0 129339464  34912 305716    0    0     0   660 3720 11303  0  0 96  3  0
 0  1      0 129338480  35136 305928    0    0     0   732 3746 11835  0  0 96  3  0
 0  2      0 129337840  35376 306084    0    0     0   744 3790 12409  0  0 96  3  0
 0  1      0 129336712  35584 306148    0    0     0   660 3669 11424  0  0 97  3  0
 0  1      0 129336912  35792 306120    0    0     0   648 3911 11727  0  0 96  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2      0 129336048  36024 306352    0    0     0   792 3750 11768  0  0 96  3  0
 0  1      0 129335424  36264 306220    0    0     0   696 3682 12095  1  0 96  3  0
 0  1      0 129333920  36472 306580    0    0     0   608 3714 10924  0  0 96  3  0
 0  1      0 129334328  36696 306656    0    0     0   700 3833 12104  0  0 96  3  0
 0  2      0 129334568  36920 306440    0    0     0  1836 3860 11902  0  0 97  3  0
 0  1      0 129333168  37112 306980    0    0     0   660 3598 11042  0  0 96  3  0
 0  1      0 129332304  37328 307044    0    0     0   672 3777 11416  0  0 96  3  0
 0  1      0 129331576  37560 307140    0    0     0   788 3843 12345  0  0 96  3  0
 1  1      0 129331008  37792 307304    0    0     0   752 3777 12436  0  0 96  3  0
 0  1      0 129330272  38008 307348    0    0     0   692 3794 11656  0  0 97  3  0
 1  1      0 129329640  38224 307572    0    0     0   660 3636 11399  0  0 97  3  0
 0  1      0 129329512  38440 307832    0    0     0   712 3691 11534  0  0 97  3  0
 0  1      0 129328640  38656 307884    0    0     0   692 3627 11571  0  0 96  3  0
 0  2      0 129328856  38880 308152    0    0     0   800 3811 12512  0  0 97  3  0
 0  1      0 129328064  39104 308092    0    0     0   724 3731 12250  0  0 96  3  0
 0  2      0 129327040  39312 308328    0    0     0   732 3691 11671  0  0 96  3  0
 0  1      0 129327096  39536 308636    0    0     0   752 3806 11777  0  0 96  3  0
 0  2      0 129326584  39760 308744    0    0     0   780 3774 12264  0  0 97  3  0
 0  1      0 129326624  39992 308920    0    0     0   780 3963 12534  0  0 97  3  0
 0  2      0 129326072  40208 309036    0    0     0   716 3732 11430  0  0 97  3  0
 0  1      0 129326000  40440 309228    0    0     0   792 4079 13215  1  0 96  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129325304  40656 309380    0    0     0   688 3619 11629  0  0 97  3  0
 0  1      0 129325048  40896 309428    0    0     0   760 3799 12323  0  0 97  3  0
 0  1      0 129323688  41112 309596    0    0     0   692 3689 11651  0  0 96  3  0
 0  1      0 129323824  41344 309516    0    0     0   748 3844 11752  0  0 96  3  0
 1  2      0 129323904  41560 309972    0    0     0   684 3612 11570  0  0 97  3  0
 1  2      0 129322992  41800 310080    0    0     0   788 3824 12465  0  0 96  3  0
 0  1      0 129322416  42008 310140    0    0     0   640 3712 11490  1  0 96  3  0
 0  2      0 129321672  42240 310128    0    0     0   760 3694 11677  0  0 97  3  0
 0  1      0 129321200  42456 310596    0    0     0   656 3624 11504  0  0 96  3  0
 0  1      0 129319568  42696 310496    0    0     0   740 3936 12457  0  0 96  3  0
 0  1      0 129319248  42920 310812    0    0     0   720 3607 11604  0  0 97  3  0
 0  1      0 129319232  43144 310796    0    0     0   740 3822 12372  1  0 96  3  0
 1  1      0 129318992  43352 310664    0    0     0   696 3588 11542  0  0 96  3  0
 0  1      0 129319584  43592 311152    0    0     0   776 3936 12569  0  0 97  3  0
 0  1      0 129318704  43832 311100    0    0     0   792 3784 12425  0  0 96  3  0
 0  2      0 129318472  44032 310948    0    0     0   632 3660 10974  0  0 97  3  0
 0  1      0 129317440  44240 310884    0    0     0   696 3761 11597  0  0 96  3  0
 0  1      0 129318016  44480 311584    0    0     0   720 3722 12280  0  0 96  3  0
 0  1      0 129317400  44712 311584    0    0     0   720 3690 11759  0  0 96  3  0
 0  1      0 129317776  44920 311384    0    0     0   688 3817 11439  0  0 97  3  0
 0  1      0 129316344  45140 312036    0    0    28   708 3783 12197  0  0 96  3  0
