procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0      0 129306240   9560 292124    0    0     0    12 12584 1460252 32 13 55  0  0
18  0      0 129306576   9560 292148    0    0     0     0 11099 1467223 32 13 55  0  0
20  0      0 129306032   9560 292092    0    0     0     0 11675 1456745 33 13 54  0  0
20  0      0 129306544   9560 292120    0    0     0     0 11659 1458850 33 13 54  0  0
18  0      0 129307776   9568 292152    0    0     0    24 11749 1470881 33 13 54  0  0
19  0      0 129306736   9568 292164    0    0     0     0 10229 1481153 33 12 55  0  0
20  0      0 129307520   9568 292200    0    0     0    24 11718 1486176 33 12 55  0  0
20  0      0 129307392   9568 292224    0    0     0     0 12142 1477561 32 13 55  0  0
18  0      0 129307280   9568 292224    0    0     0     0 10917 1491665 33 12 55  0  0
18  0      0 129307400   9576 292208    0    0     0    12 12099 1463192 33 13 54  0  0
18  0      0 129308048   9576 292208    0    0     0     0 11226 1474336 32 13 55  0  0
17  0      0 129308000   9580 292256    0    0     4    12 10791 1484207 32 14 54  0  0
19  0      0 129307776   9580 292240    0    0     0     0 10053 1488607 33 13 55  0  0
17  0      0 129307664   9580 292240    0    0     0     0 10623 1481031 33 13 55  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20  0      0 129306608   9588 292220    0    0     0    24 11459 1463548 33 13 55  0  0
18  0      0 129306624   9588 292208    0    0     0     0 37452 1446939 33 13 55  0  0
18  0      0 129306424   9592 292168    0    0     4    28 57533 1460236 33 12 54  0  0
20  0      0 129306816   9592 292176    0    0     0     0 48735 1448699 32 13 54  0  0
19  0      0 129307264   9592 292232    0    0     0     0 11098 1458585 32 13 55  0  0
20  0      0 129306200   9600 292280    0    0     0    24 11216 1479571 33 12 54  0  0
17  0      0 129306224   9600 292312    0    0     0     0 10117 1461489 32 13 55  0  0
17  0      0 129306248   9864 292560    0    0   392     0 11278 1478632 32 13 54  0  0
18  0      0 129305632   9868 292560    0    0     4    32 11840 1463773 33 13 54  0  0
17  0      0 129305208   9868 292568    0    0     0     0 11671 1449550 33 12 55  0  0
18  0      0 129306352   9876 292504    0    0     0    52 12027 1481956 32 13 54  0  0
21  0      0 129306152   9876 292548    0    0     0     0 10617 1479122 33 12 55  0  0
22  0      0 129306064   9876 292532    0    0     0     0 10239 1486487 33 13 54  0  0
18  0      0 129305800   9876 292588    0    0     0    48 10162 1460793 33 13 54  0  0
21  0      0 129306208   9876 292576    0    0     0     0 10410 1442384 33 13 55  0  0
20  0      0 129306072   9884 292620    0    0     0    12 10500 1438832 33 12 55  0  0
19  0      0 129306152   9884 292668    0    0     0     0 9905 1464542 33 13 54  0  0
18  0      0 129307480   9884 292716    0    0     0     0 10839 1450416 33 13 54  0  0
21  0      0 129307552   9884 292772    0    0     0     0 11395 1446355 33 13 54  0  0
20  0      0 129307936   9884 292772    0    0     0    16 10271 1463786 33 13 55  0  0
18  0      0 129307376   9892 292872    0    0     0    24 10894 1484260 33 12 54  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0      0 129307096   9892 292896    0    0     0     0 10538 1491665 33 12 55  0  0
18  0      0 129307216   9892 292896    0    0     0     0 11212 1464930 32 13 55  0  0
18  0      0 129306584   9892 292904    0    0     0     0 11453 1482701 32 13 54  0  0
20  0      0 129306816   9892 292848    0    0     0     0 10518 1459748 33 13 54  0  0
16  0      0 129306880   9900 292808    0    0     0    36 10642 1506242 32 13 55  0  0
20  0      0 129306752   9900 292808    0    0     0     0 10057 1505233 33 12 55  0  0
19  0      0 129305960   9900 292768    0    0     0     0 10598 1494155 33 13 55  0  0
20  0      0 129306240   9900 292736    0    0     0     0 11951 1469830 32 13 54  0  0
18  0      0 129307072   9908 292696    0    0     8     0 10987 1481065 33 13 54  0  0
19  0      0 129306384   9920 292640    0    0     4    32 21588 1451767 33 13 54  0  0
18  0      0 129306576   9920 292616    0    0     0     0 13716 1440669 32 13 55  0  0
17  0      0 129307288   9920 292628    0    0     0     0 23973 1432994 33 13 55  0  0
18  0      0 129307104   9920 292596    0    0     0     0 12291 1456519 32 14 54  0  0
18  0      0 129307072   9920 292608    0    0     0     0 11618 1462209 32 13 55  0  0
19  0      0 129306992   9928 292584    0    0     0    24 10875 1488067 32 13 54  0  0
21  0      0 129306592   9928 292624    0    0     0    20 11833 1460141 33 13 55  0  0
20  0      0 129305408   9928 292584    0    0     0     0 10309 1474873 33 13 54  0  0
