procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
21  0      0 129502688   8412 287340    0    0     0     0 11241 1452381 33 12 55  0  0
18  0      0 129502200   8420 287348    0    0     0    12 11173 1438763 33 12 54  0  0
19  0      0 129503080   8420 287348    0    0     0    16 11149 1461091 33 13 55  0  0
18  0      0 129502664   8420 287300    0    0     0     0 11690 1449528 34 12 55  0  0
19  0      0 129502576   8420 287268    0    0     0     0 11541 1449065 33 12 55  0  0
16  0      0 129502096   8420 287256    0    0     0     0 12442 1415168 33 12 55  0  0
18  0      0 129502024   8428 287208    0    0     0    24 19774 1425463 33 13 54  0  0
17  0      0 129501760   8428 287208    0    0     0     0 40046 1431609 33 12 55  0  0
16  0      0 129501840   8432 287240    0    0     4    20 45808 1423826 33 12 55  0  0
19  0      0 129501496   8432 287240    0    0     0     0 48589 1411252 33 12 55  0  0
17  0      0 129501472   8432 287188    0    0     0     0 37204 1434063 33 12 55  0  0
18  0      0 129501392   8440 287188    0    0     0    24 10566 1401866 33 12 54  0  0
19  0      0 129501168   8440 287188    0    0     0     0 10802 1382686 33 13 54  0  0
22  0      0 129501904   8444 287136    0    0     4    24 11372 1437040 33 13 55  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20  0      0 129501552   8444 287116    0    0     0     0 11981 1434804 33 13 55  0  0
20  0      0 129501376   8444 287064    0    0     0     0 13190 1438081 33 13 55  0  0
18  0      0 129500808   8452 287000    0    0     0    24 12186 1441178 33 12 55  0  0
18  0      0 129501440   8452 287000    0    0     0     0 10688 1450627 33 13 55  0  0
18  0      0 129500464   8452 286976    0    0     0     0 10799 1485718 33 12 55  0  0
19  0      0 129500640   8456 286824    0    0     4    24 10967 1461886 32 13 55  0  0
19  0      0 129499776   8456 286836    0    0     0     0 11511 1448332 33 13 55  0  0
18  0      0 129498960   8536 287008    0    0   196    20 12478 1435647 33 12 54  0  0
20  0      0 129499600   8536 287128    0    0     0     0 12314 1434545 33 13 54  0  0
19  0      0 129499536   8536 287192    0    0     0     0 12252 1443288 33 13 55  0  0
16  0      0 129498720   9092 287260    0    0   568    24 12364 1416991 32 13 54  0  0
19  0      0 129499232   9092 287256    0    0     0     0 12160 1427309 33 12 55  0  0
18  0      0 129499440   9100 287192    0    0     0    24 11868 1452068 33 12 55  0  0
17  0      0 129499584   9100 287256    0    0     0     0 11106 1443604 33 12 55  0  0
16  0      0 129499952   9100 287216    0    0     0     0 11997 1427963 33 12 55  0  0
19  0      0 129499136   9100 287224    0    0     0     0 12289 1441646 32 13 55  0  0
18  0      0 129498568   9100 287352    0    0     0    20 12277 1417432 33 12 55  0  0
19  0      0 129498192   9112 287344    0    0     4    24 11505 1428002 33 12 55  0  0
19  0      0 129498656   9112 287384    0    0     0     0 12010 1432629 32 13 55  0  0
20  0      0 129498608   9112 287580    0    0     0     0 11377 1427330 33 13 55  0  0
19  0      0 129498480   9112 287648    0    0     0     0 11379 1425964 33 12 55  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0      0 129498392   9116 287712    0    0     4    24 11037 1438846 33 12 55  0  0
19  0      0 129499360   9124 287572    0    0     0    12 11845 1445974 33 12 55  0  0
22  0      0 129500176   9124 287636    0    0     0     0 10659 1411092 33 12 55  0  0
19  0      0 129500336   9124 287612    0    0     0     0 13289 1453961 33 13 54  0  0
19  0      0 129500848   9124 287604    0    0     0     0 12771 1450352 33 13 55  0  0
17  0      0 129501032   9128 287536    0    0     4     0 11664 1447709 33 13 55  0  0
19  0      0 129501536   9140 287500    0    0     4    40 11399 1448570 33 12 54  0  0
19  0      0 129502056   9140 287508    0    0     0     0 11832 1445191 33 12 55  0  0
