procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129563888  18936 294544    0    0     0   748 3968 13001  0  0 96  3  0
 0  2      0 129563584  19176 294588    0    0     0   744 3685 11734  0  0 97  3  0
 0  1      0 129563568  19368 294956    0    0     0   604 3561 10593  0  0 97  3  0
 0  2      0 129562928  19592 295000    0    0     0   732 3646 11554  0  0 96  3  0
 0  1      0 129562496  19816 295144    0    0     0   704 3930 11647  0  0 96  3  0
 0  1      0 129562144  20056 295480    0    0     0   736 4058 12147  0  0 97  3  0
 0  1      0 129562536  20280 295432    0    0     0   676 4023 11528  0  0 97  3  0
 1  2      0 129562160  20496 295840    0    0     0   700 4007 11845  1  0 96  3  0
 2  1      0 129561976  20712 295712    0    0     0   708 3711 11378  1  0 96  3  0
 0  2      0 129562080  20944 296044    0    0     0   744 3703 11615  0  0 96  3  0
 0  1      0 129560656  21176 296312    0    0     0   752 3802 12224  0  0 96  3  0
 0  1      0 129559936  21384 296512    0    0     0   656 3668 11509  0  0 97  3  0
 0  1      0 129560192  21608 296644    0    0     0   732 3785 11839  1  0 96  3  0
 1  1      0 129559952  21832 296576    0    0     0   780 3695 12252  0  0 96  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129559296  22048 296968    0    0     0   688 3730 11591  0  0 96  3  0
 0  2      0 129559096  22248 296980    0    0     0  1692 3672 11161  0  0 97  3  0
 0  1      0 129558856  22464 296920    0    0     0   684 3681 11691  0  0 97  3  0
 1  2      0 129557888  22704 297020    0    0     0   764 3794 12373  0  0 96  3  0
 0  1      0 129557568  22928 297208    0    0     0   704 3711 12179  0  0 96  3  0
 0  1      0 129556824  23144 297348    0    0     0   716 3908 11496  0  0 97  3  0
 0  1      0 129556128  23368 297492    0    0     0   700 3784 11598  0  0 97  3  0
 0  1      0 129555184  23600 297388    0    0     0   732 3814 11530  0  0 96  3  0
